Results Table 1
,Maximum Load
,(lbf)
"1","980.72"

Time,Elongation,Load
(s),(in),(lbf)
"7.3000","0.0307","278.9390"
"7.3200","0.0307","279.8161"
"7.3400","0.0308","280.7344"
"7.3600","0.0309","281.6815"
"7.3800","0.0309","282.6678"
"7.4000","0.0310","283.6197"
"7.4200","0.0311","284.5329"
"7.4400","0.0311","285.4046"
"7.4600","0.0312","286.2304"
"7.4800","0.0313","287.0770"
"7.5000","0.0313","287.9840"
"7.5200","0.0314","288.9328"
"7.5400","0.0315","289.9130"
"7.5600","0.0315","290.8453"
"7.5800","0.0316","291.6546"
"7.6000","0.0317","292.3882"
"7.6200","0.0317","293.2088"
"7.6400","0.0318","294.2232"
"7.6600","0.0319","295.2438"
"7.6800","0.0319","296.1585"
"7.7000","0.0320","296.9282"
"7.7200","0.0321","297.6672"
"7.7400","0.0321","298.4928"
"7.7600","0.0322","299.4164"
"7.7800","0.0323","300.4001"
"7.8000","0.0323","301.2907"
"7.8200","0.0324","302.1191"
"7.8400","0.0325","302.9364"
"7.8600","0.0325","303.7196"
"7.8800","0.0326","304.5557"
"7.9000","0.0327","305.4210"
"7.9200","0.0327","306.3829"
"7.9400","0.0328","307.3068"
"7.9600","0.0329","308.1553"
"7.9800","0.0329","308.9438"
"8.0000","0.0330","309.6482"
"8.0200","0.0331","310.3715"
"8.0400","0.0331","311.2269"
"8.0600","0.0332","312.1495"
"8.0800","0.0333","313.0330"
"8.1000","0.0333","313.8798"
"8.1200","0.0334","314.6133"
"8.1400","0.0335","315.2845"
"8.1600","0.0335","316.0559"
"8.1800","0.0336","316.9995"
"8.2000","0.0337","317.9311"
"8.2200","0.0337","318.7266"
"8.2400","0.0338","319.4519"
"8.2600","0.0339","320.1508"
"8.2800","0.0339","320.9083"
"8.3000","0.0340","321.7102"
"8.3200","0.0341","322.5667"
"8.3400","0.0341","323.3859"
"8.3600","0.0342","324.1711"
"8.3800","0.0343","324.9508"
"8.4000","0.0343","325.6326"
"8.4200","0.0344","326.2852"
"8.4400","0.0345","327.0314"
"8.4600","0.0345","327.9077"
"8.4800","0.0346","328.7688"
"8.5000","0.0347","329.5655"
"8.5200","0.0347","330.2764"
"8.5400","0.0348","330.9109"
"8.5600","0.0349","331.5482"
"8.5800","0.0349","332.3401"
"8.6000","0.0350","333.2101"
"8.6200","0.0351","334.0153"
"8.6400","0.0351","334.7199"
"8.6600","0.0352","335.3781"
"8.6800","0.0353","336.0298"
"8.7000","0.0353","336.7778"
"8.7200","0.0354","337.6014"
"8.7400","0.0355","338.3779"
"8.7600","0.0355","339.0992"
"8.7800","0.0356","339.8041"
"8.8000","0.0357","340.5098"
"8.8200","0.0357","341.2043"
"8.8400","0.0358","341.9025"
"8.8600","0.0359","342.6738"
"8.8800","0.0359","343.4304"
"8.9000","0.0360","344.1711"
"8.9200","0.0361","344.8581"
"8.9400","0.0361","345.4203"
"8.9600","0.0362","345.9739"
"8.9800","0.0363","346.6590"
"9.0000","0.0363","347.4760"
"9.0200","0.0364","348.2625"
"9.0400","0.0365","348.9504"
"9.0600","0.0365","349.5560"
"9.0800","0.0366","350.1383"
"9.1000","0.0367","350.7912"
"9.1200","0.0367","351.5178"
"9.1400","0.0368","352.2840"
"9.1600","0.0369","352.9680"
"9.1800","0.0369","353.6113"
"9.2000","0.0370","354.2273"
"9.2200","0.0371","354.8115"
"9.2400","0.0371","355.4503"
"9.2600","0.0372","356.1667"
"9.2800","0.0373","356.9000"
"9.3000","0.0373","357.5527"
